hospital_id,date,occupied_beds,occupied_icu,ventilators_in_use,oxygen_cylinders_available,doctors_on_duty,nurses_on_duty
11,2025-09-04,1602,137,60,157,133,319
11,2025-09-05,1606,138,62,168,196,426
12,2025-08-07,1606,193,107,672,147,331
12,2025-08-08,1653,218,133,652,151,447
12,2025-08-09,1750,213,145,642,95,243
12,2025-08-10,1609,202,123,700,159,474
12,2025-08-11,1557,177,116,694,170,349
12,2025-08-12,1537,197,129,694,98,227
12,2025-08-13,1626,209,132,693,200,471
12,2025-08-14,1651,220,141,647,130,305
12,2025-08-15,1720,219,144,658,208,612
12,2025-08-16,1708,219,146,643,170,487
12,2025-08-17,1568,192,122,680,157,334
12,2025-08-18,1504,191,128,705,144,361
12,2025-08-19,1544,202,123,704,125,267
12,2025-08-20,1687,199,125,678,151,314
12,2025-08-21,1742,219,139,654,173,460
12,2025-08-22,1663,197,125,674,102,277
12,2025-08-23,1604,188,130,724,176,408
12,2025-08-24,1561,185,113,687,137,288
12,2025-08-25,1542,193,126,699,195,491
12,2025-08-26,1632,210,142,668,181,451
12,2025-08-27,1690,206,149,646,140,323
12,2025-08-28,1743,208,140,623,147,331
12,2025-08-29,1567,206,142,704,150,320
12,2025-08-30,1535,178,96,714,120,283
12,2025-08-31,1520,176,117,696,133,350
12,2025-09-01,1575,192,120,685,182,388
12,2025-09-02,1690,209,138,645,77,184
12,2025-09-03,1778,223,128,664,154,334
12,2025-09-04,1721,204,129,650,95,278
12,2025-09-05,1540,195,119,695,130,332
13,2025-08-07,1072,139,87,231,168,441
13,2025-08-08,1154,143,82,257,149,337
13,2025-08-09,1146,151,87,252,118,286
13,2025-08-10,1092,142,76,295,106,282
13,2025-08-11,1091,133,70,246,173,400
13,2025-08-12,1113,125,76,257,146,311
13,2025-08-13,1146,136,78,242,232,680
13,2025-08-14,1165,143,84,210,77,214
13,2025-08-15,1235,154,86,192,158,454
13,2025-08-16,1118,162,101,255,127,349
13,2025-08-17,1037,139,89,267,146,406
13,2025-08-18,1104,137,78,255,142,423
13,2025-08-19,1127,140,87,255,139,325
13,2025-08-20,1136,139,82,237,161,461
13,2025-08-21,1174,158,84,231,144,352
13,2025-08-22,1174,137,88,239,109,220
13,2025-08-23,1106,150,98,265,225,603
13,2025-08-24,1095,139,87,244,158,379
13,2025-08-25,1072,139,81,238,145,434
13,2025-08-26,1119,130,78,217,137,388
13,2025-08-27,1206,154,91,230,179,412
13,2025-08-28,1124,150,96,241,125,292
13,2025-08-29,1153,129,82,223,156,438
13,2025-08-30,1050,134,91,258,156,314
13,2025-08-31,1050,133,81,269,166,339
13,2025-09-01,1064,137,79,245,130,357
13,2025-09-02,1178,144,71,241,149,433
13,2025-09-03,1219,146,93,225,139,305
13,2025-09-04,1083,145,97,258,152,375
13,2025-09-05,1029,141,69,300,230,484
14,2025-08-07,769,81,50,218,145,313
14,2025-08-08,756,85,48,192,129,265
14,2025-08-09,758,82,46,203,94,205
14,2025-08-10,716,83,50,197,171,364
14,2025-08-11,695,81,52,212,143,355
14,2025-08-12,725,75,46,221,147,434
14,2025-08-13,735,77,51,207,136,314
14,2025-08-14,732,88,58,203,94,196
14,2025-08-15,785,87,60,183,143,396
14,2025-08-16,743,82,49,208,201,444
14,2025-08-17,696,83,49,214,106,266
14,2025-08-18,653,80,50,247,176,490
14,2025-08-19,693,77,44,218,155,365
14,2025-08-20,747,84,58,208,119,273
14,2025-08-21,769,86,51,213,176,495
14,2025-08-22,749,82,53,200,152,401
14,2025-08-23,711,75,42,206,176,520
14,2025-08-24,702,81,46,198,188,379
14,2025-08-25,711,80,45,244,107,294
14,2025-08-26,739,81,51,201,167,498
14,2025-08-27,738,85,49,177,153,397
14,2025-08-28,745,84,52,201,153,445
14,2025-08-29,732,89,50,206,171,496
14,2025-08-30,691,82,56,229,134,330
14,2025-08-31,715,79,51,217,114,334
14,2025-09-01,723,77,46,207,146,360
14,2025-09-02,752,86,51,218,192,466
14,2025-09-03,785,88,54,196,121,244
14,2025-09-04,709,82,51,214,163,429
14,2025-09-05,715,79,51,217,131,301
15,2025-08-07,950,71,50,316,173,453
15,2025-08-08,988,74,48,286,150,312
15,2025-08-09,1022,78,46,276,133,338
15,2025-08-10,966,65,46,303,148,375
15,2025-08-11,851,68,44,320,161,467
15,2025-08-12,891,70,47,307,160,442
15,2025-08-13,907,66,43,335,139,362
15,2025-08-14,986,74,45,302,194,439
15,2025-08-15,1007,75,51,277,151,403
15,2025-08-16,995,71,49,291,152,372
15,2025-08-17,929,69,45,318,141,327
15,2025-08-18,878,70,47,302,95,194
15,2025-08-19,902,63,40,301,157,326
15,2025-08-20,996,72,41,272,109,275
15,2025-08-21,1030,76,53,276,136,347
15,2025-08-22,966,76,49,306,156,453
15,2025-08-23,947,78,52,305,139,386
15,2025-08-24,903,67,38,326,119,342
15,2025-08-25,891,68,48,301,113,246
15,2025-08-26,919,66,42,307,155,412
15,2025-08-27,982,69,48,282,118,332
15,2025-08-28,1055,71,48,274,187,409
15,2025-08-29,909,68,38,316,197,457
15,2025-08-30,918,68,47,304,148,403
15,2025-08-31,853,68,43,315,153,398
15,2025-09-01,938,69,46,333,177,389
15,2025-09-02,970,75,52,276,191,403
15,2025-09-03,1016,75,53,293,149,408
15,2025-09-04,963,70,47,286,166,415
15,2025-09-05,884,65,44,319,212,619
16,2025-08-07,1228,122,74,320,159,421
16,2025-08-08,1187,122,62,328,107,231
16,2025-08-09,1265,131,89,307,136,286
16,2025-08-10,1403,111,64,283,138,288
16,2025-08-11,1155,115,64,354,153,306
16,2025-08-12,1168,114,77,358,126,368
16,2025-08-13,1091,117,76,380,160,358
16,2025-08-14,1273,124,64,315,151,419
16,2025-08-15,1205,114,67,354,151,376
16,2025-08-16,1120,122,74,362,147,317
16,2025-08-17,1121,104,75,341,129,352
16,2025-08-18,1109,96,59,354,136,273
16,2025-08-19,1175,111,66,353,127,303
16,2025-08-20,1211,122,82,314,152,374
16,2025-08-21,1243,131,89,345,187,553
16,2025-08-22,1232,127,87,346,159,404
16,2025-08-23,1186,127,77,332,116,243
16,2025-08-24,1136,108,67,369,124,367
16,2025-08-25,1106,122,84,376,147,397
16,2025-08-26,1210,121,73,339,113,282
16,2025-08-27,1309,127,78,325,122,285
16,2025-08-28,1306,126,68,303,142,381
16,2025-08-29,1156,128,78,337,207,479
16,2025-08-30,1119,119,76,336,128,309
16,2025-08-31,1217,111,70,344,159,419
16,2025-09-01,1161,122,78,344,180,485
16,2025-09-02,1268,121,60,291,119,338
16,2025-09-03,1228,126,84,310,171,478
16,2025-09-04,1220,136,75,339,198,500
16,2025-09-05,1207,119,85,351,190,549
17,2025-08-07,1292,154,104,417,206,561
17,2025-08-08,1306,155,102,450,95,270
17,2025-08-09,1369,161,115,373,161,476
17,2025-08-10,1338,157,115,412,139,319
17,2025-08-11,1208,152,94,437,138,398
17,2025-08-12,1196,151,103,439,175,505
17,2025-08-13,1252,147,88,437,128,356
17,2025-08-14,1375,152,97,390,175,435
17,2025-08-15,1353,158,94,432,180,405
17,2025-08-16,1344,151,101,395,208,475
17,2025-08-17,1230,151,114,440,153,341
17,2025-08-18,1211,151,99,444,169,456
17,2025-08-19,1236,156,94,449,192,489
17,2025-08-20,1302,165,111,433,216,593
17,2025-08-21,1374,170,101,378,148,419
17,2025-08-22,1265,156,95,434,139,311
17,2025-08-23,1228,140,88,454,152,450
17,2025-08-24,1182,148,95,433,178,455
17,2025-08-25,1205,141,99,457,155,424
17,2025-08-26,1244,153,113,438,156,453
17,2025-08-27,1374,167,106,394,138,291
17,2025-08-28,1355,154,94,398,149,404
17,2025-08-29,1293,155,87,435,162,436
17,2025-08-30,1229,141,95,453,175,405
17,2025-08-31,1162,147,97,431,157,409
17,2025-09-01,1308,163,99,428,135,285
17,2025-09-02,1289,168,110,450,112,295
17,2025-09-03,1338,161,99,413,174,463
17,2025-09-04,1202,157,109,433,120,282
17,2025-09-05,1211,152,91,439,221,528
18,2025-08-07,1328,90,49,437,153,378
18,2025-08-08,1340,93,47,435,157,344
18,2025-08-09,1399,89,47,411,211,546
18,2025-08-10,1354,84,43,433,92,243
18,2025-08-11,1305,86,44,433,137,386
18,2025-08-12,1321,85,45,471,123,277
18,2025-08-13,1369,83,45,405,133,332
18,2025-08-14,1385,93,46,401,140,341
18,2025-08-15,1350,86,47,468,163,384
18,2025-08-16,1414,88,49,404,179,371
18,2025-08-17,1291,87,43,458,176,359
18,2025-08-18,1277,84,47,456,222,638
18,2025-08-19,1308,86,45,435,77,176
18,2025-08-20,1384,86,47,430,166,400
18,2025-08-21,1366,89,52,424,187,445
18,2025-08-22,1323,93,48,427,174,390
18,2025-08-23,1290,82,35,444,137,275
18,2025-08-24,1257,84,42,450,101,261
18,2025-08-25,1328,85,44,430,147,294
18,2025-08-26,1380,88,45,429,121,327
18,2025-08-27,1357,91,50,438,179,489
18,2025-08-28,1400,90,50,409,160,402
18,2025-08-29,1291,88,44,444,198,408
18,2025-08-30,1326,84,45,450,231,603
18,2025-08-31,1243,80,46,458,153,429
18,2025-09-01,1306,89,42,438,117,298
18,2025-09-02,1333,93,52,427,90,209
18,2025-09-03,1442,88,48,401,140,293
18,2025-09-04,1410,92,50,382,167,493
18,2025-09-05,1304,85,48,444,137,384
19,2025-08-07,728,102,46,205,166,486
19,2025-08-08,769,113,53,169,151,447
19,2025-08-09,776,108,43,168,144,344
19,2025-08-10,744,107,45,201,100,259
19,2025-08-11,719,105,40,200,135,338
19,2025-08-12,710,105,46,170,114,306
19,2025-08-13,697,105,53,204,111,318
19,2025-08-14,737,106,50,203,123,284
19,2025-08-15,744,108,46,167,124,288
19,2025-08-16,768,106,41,185,109,294
19,2025-08-17,708,99,44,219,154,381
19,2025-08-18,736,102,48,178,148,313
19,2025-08-19,710,108,55,197,160,442
19,2025-08-20,763,104,51,200,130,309
19,2025-08-21,736,117,55,211,122,343
19,2025-08-22,751,108,49,220,169,402
19,2025-08-23,737,99,45,207,112,229
19,2025-08-24,692,97,43,175,184,507
19,2025-08-25,716,94,41,199,144,415
19,2025-08-26,724,108,45,201,143,299
19,2025-08-27,781,110,45,209,123,308
19,2025-08-28,725,117,50,182,143,296
19,2025-08-29,766,109,47,198,137,322
19,2025-08-30,672,102,43,237,152,357
19,2025-08-31,687,92,39,223,160,375
19,2025-09-01,731,101,47,192,176,432
19,2025-09-02,773,112,52,167,101,271
19,2025-09-03,733,103,42,177,174,350
19,2025-09-04,744,101,48,179,174,469
19,2025-09-05,693,98,43,215,193,386
20,2025-08-07,384,33,14,142,137,354
20,2025-08-08,420,32,15,117,170,475
20,2025-08-09,409,31,14,117,97,238
20,2025-08-10,392,32,16,77,187,460
20,2025-08-11,410,29,10,95,108,315
20,2025-08-12,365,29,13,125,132,271
20,2025-08-13,385,31,13,88,94,191
20,2025-08-14,401,34,19,106,156,429
20,2025-08-15,404,33,14,88,163,370
20,2025-08-16,417,31,13,134,144,364
20,2025-08-17,379,30,13,119,129,300
20,2025-08-18,390,30,13,132,148,382
20,2025-08-19,385,30,14,99,165,480
20,2025-08-20,391,35,20,119,185,457
20,2025-08-21,404,33,17,127,150,311
20,2025-08-22,422,34,14,89,121,341
20,2025-08-23,392,36,18,95,180,372
20,2025-08-24,361,30,16,147,115,301
20,2025-08-25,385,29,14,106,134,376
20,2025-08-26,413,31,14,105,159,390
20,2025-08-27,386,31,14,80,72,156
20,2025-08-28,379,32,14,124,173,486
20,2025-08-29,388,32,15,87,177,466
20,2025-08-30,363,30,15,73,137,378
20,2025-08-31,386,30,13,113,150,446
20,2025-09-01,387,34,12,112,183,470
20,2025-09-02,421,29,14,96,120,323
20,2025-09-03,407,34,15,106,140,377
20,2025-09-04,442,29,13,82,186,544
20,2025-09-05,377,28,15,102,182,512
21,2025-08-07,441,32,16,135,125,345
21,2025-08-08,469,35,22,160,157,459
21,2025-08-09,446,36,21,161,128,338
21,2025-08-10,430,35,21,147,189,560
21,2025-08-11,417,34,18,147,134,302
21,2025-08-12,408,32,21,155,140,341
21,2025-08-13,410,34,20,176,139,398
21,2025-08-14,430,35,18,146,136,382
21,2025-08-15,458,37,21,156,194,424
21,2025-08-16,463,36,21,144,93,197
21,2025-08-17,418,31,20,179,210,422
21,2025-08-18,415,32,18,178,125,338
21,2025-08-19,404,31,16,197,168,361
21,2025-08-20,424,34,22,172,130,327
21,2025-08-21,438,33,18,151,137,308
21,2025-08-22,426,36,23,190,150,426
21,2025-08-23,444,35,21,158,149,405
21,2025-08-24,404,34,23,184,167,355
21,2025-08-25,422,30,17,150,229,575
21,2025-08-26,431,31,18,137,123,309
21,2025-08-27,460,33,19,170,143,374
21,2025-08-28,441,33,19,149,162,413
21,2025-08-29,448,34,18,172,141,397
21,2025-08-30,391,32,21,172,195,536
21,2025-08-31,413,33,20,165,153,376
21,2025-09-01,422,33,22,164,133,396
21,2025-09-02,441,35,20,165,153,438
21,2025-09-03,458,36,22,143,180,420
21,2025-09-04,454,35,20,160,138,374
21,2025-09-05,414,33,19,176,173,375
22,2025-08-07,61,6,2,12,146,365
22,2025-08-08,63,6,2,0,174,501
22,2025-08-09,60,6,2,0,86,219
22,2025-08-10,60,6,2,30,121,321
22,2025-08-11,59,6,2,6,100,238
22,2025-08-12,56,6,2,5,58,118
22,2025-08-13,60,6,2,25,159,384
22,2025-08-14,62,6,2,14,168,353
22,2025-08-15,63,7,3,29,174,442
22,2025-08-16,58,6,2,0,187,428
22,2025-08-17,55,5,2,25,136,401
22,2025-08-18,57,6,2,2,100,222
22,2025-08-19,58,6,3,25,192,513
22,2025-08-20,59,6,3,0,133,375
22,2025-08-21,60,7,3,15,110,300
22,2025-08-22,60,6,2,2,180,524
